Lineages,Variant,Colour
B.1.1.7,Alpha,darksalmon
BA.1,BA.1,#FFFFCC
B.1.1.529.1,BA.1,#FFFFCC
BA.2,BA.2,#FFEDA0
B.1.1.529.2,BA.2,#FFEDA0
BA.3,BA.3,#FED976
B.1.1.529.3,BA.3,#FED976
BA.4,BA.4,#FEB24C
B.1.1.529.4,BA.4,#FEB24C
BA.5,BA.5,#FD8D3C
B.1.1.529.5,BA.5,#FD8D3C
B.1.351,Beta,#8C6BB1
B.1.617.2,Delta,#8C96C6
AY,Delta_AY,#E0ECF4
P.1,Gamma,#80471C
GN.1,GN.1,steelblue
JN.1,JN.1,darkgreen
C.37,Lambda,#800026
B.1.621,Mu,#3F918B
BQ,Omicron_BQ,#78C679
DJ,Omicron_DJ,#D9F0A3
XBB.1,Omicron_XBB.1,#4D004B
XBB.2.6,Omicron_XBB.2.6,#E31A1C
None,Unassigned,darkgrey
